trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	t2d2	t3d3
358	30	2	1.0	elu	120	40	0.0009893	18.6	2.93	1.78	2007	4000	2.159	2.123	True	484.3	240	244.3
362	26	2	1.0	elu	120	40	0.001061	8.73	2.1	2.18	3106	4000	2.296	2.378	True	349.2	171.2	177.9
361	28	2	1.0	elu	120	40	0.0009337	13.8	2.41	2.43	3019	4000	2.272	2.463	True	344.6	174.7	170
360	29	2	1.0	elu	120	40	0.00081	8.9	2.72	1.51	3306	4000	2.379	2.529	True	488.7	200.5	288.2
363	25	2	1.0	elu	120	40	0.0009448	10.2	3.12	1.99	3778	4000	2.267	2.367	True	1536	804	732.4
364	27	2	1.0	elu	120	40	0.001169	14.2	3.44	2.3	3142	4000	2.406	2.622	True	349.3	164	185.3
365	29	2	1.0	elu	120	40	0.0007607	14.2	2.58	1.93	2031	4000	2.401	2.363	True	307.7	151.3	156.4
366	27	2	1.0	elu	120	40	0.0009639	8.58	4.11	1.63	3751	4000	2.173	2.241	True	335	163.8	171.2
367	27	2	1.0	elu	120	40	0.001164	9.91	2.69	1.89	2913	4000	2.172	1.976	True	329.2	162.3	166.9
369	25	2	1.0	elu	120	40	0.0008251	14.9	2.09	2.45	2102	4000	2.162	2.051	True	375.4	188.8	186.6
368	27	2	1.0	elu	120	40	0.001029	15.9	2.14	3.38	3000	4000	2.133	2.241	True	628	349.2	278.8
370	28	2	1.0	elu	120	40	0.0009304	13.9	1.88	3.06	3682	4000	2.216	2.391	True	456.7	218.5	238.2
371	28	2	1.0	elu	120	40	0.0007688	12.7	1.94	2.25	3611	4000	2.421	2.42	True	362.4	180.7	181.7
372	26	2	1.0	elu	120	40	0.00115	16.1	2.4	2.34	4177	4000	2.094	2.204	True	391.3	200.5	190.8
373	24	2	1.0	elu	120	40	0.001215	16.4	1.89	2.21	3531	4000	2.029	1.94	True	341.4	174.6	166.8
374	25	2	1.0	elu	120	40	0.001416	18.2	2.24	1.83	3402	4000	2.214	2.57	True	433.1	210.5	222.6
377	24	2	1.0	elu	120	40	0.001157	7	1.9	2.12	3441	4000	2.261	2.183	True	363.4	188.7	174.7
378	25	2	1.0	elu	120	40	0.00124	18.4	2.06	2.04	2915	4000	2.251	2.244	True	523.3	284.9	238.4
376	26	2	1.0	elu	120	40	0.001316	9.11	2.25	1.98	3714	4000	2.714	2.606	True	679.3	447.7	231.6
375	30	2	1.0	elu	120	40	0.0007781	13.4	3.14	1.97	1602	4000	2.19	2.31	True	359	188.7	170.3
