trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae
66	2	1	2.0	gelu	40	32	0.0004398	19.3	14.6	0.951	9673	401	14.2	10.92
68	2	1	0.5	gelu	40	32	0.0003971	12.9	7.57	1.42	9398	401	8.465	9.751
67	2	1	0.5	gelu	40	32	0.000532	15.7	7.51	0.75	9526	726	14.37	11.01
69	2	1	0.5	gelu	40	32	0.0004399	7.46	18.2	1.04	9546	668	14.67	11.16
71	4	1	0.5	gelu	40	32	0.0004046	14.3	13	0.909	9727	428	7.826	9.121
70	2	1	0.5	gelu	40	32	0.0005669	13.4	14.2	0.781	9499	1275	15.7	11.7
73	2	1	0.5	gelu	40	32	0.0003022	12.1	7.68	1.14	8370	413	13.86	10.74
72	2	1	0.5	gelu	40	32	0.0003389	7.69	12.5	1.08	9417	1144	15.89	11.8
75	3	1	0.5	gelu	40	32	0.0004503	12.9	11.2	0.921	8594	401	7.891	9.194
76	2	1	0.5	gelu	40	32	0.0003679	16.7	16.5	0.607	9980	708	10.83	9.49
77	2	1	0.5	gelu	40	32	0.000383	10.2	13.1	0.755	8986	465	9.63	9.124
74	2	1	0.5	gelu	40	32	0.000425	12.2	15.6	0.945	8566	2000	16.55	12.16
78	4	1	0.5	gelu	40	32	0.0004083	15.4	11.9	0.795	9086	1031	16.06	11.89
79	2	1	0.5	gelu	40	32	0.0003278	12.3	12.9	0.533	8372	956	9.979	9.235
81	3	1	0.5	gelu	40	32	0.0003141	12.4	12	0.72	9805	421	7.839	9.147
80	3	1	0.5	gelu	40	32	0.0004328	13.6	11.6	1.58	8663	569	10.4	9.338
82	2	1	0.5	gelu	40	32	0.0005512	11.5	14	0.528	9241	469	7.9	8.92
83	2	1	0.5	gelu	40	32	0.0005433	17.3	12.7	0.682	9713	608	7.905	9.215
85	4	1	0.5	gelu	40	32	0.0003271	17.2	14.4	0.689	9963	512	8.48	8.908
86	3	1	0.5	gelu	40	32	0.0004721	14.4	8.98	0.818	8680	401	7.854	8.957
84	4	1	0.5	gelu	40	32	0.0003891	13	9.61	0.864	8483	2000	13.9	10.48
87	3	1	0.5	gelu	40	32	0.0005544	15.2	9.89	0.755	8420	1143	15.56	11.62
88	3	1	0.5	gelu	40	32	0.0005831	9.48	13.8	0.51	9781	401	7.849	9.044
89	4	1	0.5	gelu	40	32	0.0005368	13.2	11.1	0.932	9323	401	8.273	8.911
90	2	1	0.5	gelu	40	32	0.0005726	9.74	13.8	0.587	9675	615	8.073	9.418
91	3	1	0.5	gelu	40	32	0.000545	13.3	10.5	1.12	8083	402	7.853	9.041
92	2	1	0.5	gelu	40	32	0.0005616	10.9	12.4	0.554	8398	534	15.12	11.4
93	2	1	0.5	gelu	40	32	0.0005097	10.5	13.2	1.45	9299	457	8.155	9.486
94	3	1	0.5	gelu	40	32	0.0006134	11.6	13.4	0.518	9772	444	10.91	9.501
96	3	1	0.5	gelu	40	32	0.0004713	13.8	7.77	0.748	8978	401	9.584	9.112
95	3	1	0.5	gelu	40	32	0.0005467	11.7	8.93	0.801	9721	1054	15.05	11.36
98	2	1	0.5	gelu	40	32	0.0003823	13.2	12.3	1.48	8244	401	8.64	9.882
97	3	1	0.5	gelu	40	32	0.0006157	7.71	13.2	0.547	9673	802	15.2	11.43
99	2	1	0.5	gelu	40	32	0.0003815	11.7	10.8	0.978	9702	525	7.835	9.017
100	2	1	0.5	gelu	40	32	0.0005411	9.39	13.7	0.813	9458	780	14.94	11.29
102	3	1	0.5	gelu	40	32	0.0004155	11.7	13.1	0.896	9281	718	12.37	10.07
101	4	1	0.5	gelu	40	32	0.0003508	13.6	11.6	0.995	9951	1158	15.6	11.65
103	4	1	0.5	gelu	40	32	0.0004726	16.3	9.46	1.21	8417	420	7.815	9.047
104	3	1	0.5	gelu	40	32	0.0005204	11.1	12.8	0.654	9269	799	12.64	10.18
105	4	1	0.5	gelu	40	32	0.0004827	11.7	10.6	1.1	8934	714	16	11.86
107	4	1	0.5	gelu	40	32	0.000301	12.7	12.6	0.864	9818	462	8.268	8.916
106	4	1	0.5	gelu	40	32	0.0003924	16.6	9.89	0.687	9220	845	13.96	10.81
108	3	1	0.5	gelu	40	32	0.0004337	11.9	10.1	0.987	9309	401	7.887	8.918
109	2	1	0.5	gelu	40	32	0.0003087	10.3	10.2	0.921	9857	885	12.72	10.21
110	3	1	0.5	gelu	40	32	0.0003589	13.7	11.7	0.795	9021	923	15.96	11.84
111	2	1	0.5	gelu	40	32	0.0004843	12.2	14.5	0.869	9439	779	15.41	11.54
112	3	1	0.5	gelu	40	32	0.0004362	17.5	10.4	0.843	9424	404	11.03	9.546
114	2	1	0.5	gelu	40	32	0.0004488	12.8	11.3	0.998	9229	401	7.961	8.898
113	2	1	0.5	gelu	40	32	0.0004986	13	12.3	0.794	8626	493	9.336	9.055
116	3	1	0.5	gelu	40	32	0.0003417	12	13.7	0.676	9378	412	7.846	8.967
115	2	1	0.5	gelu	40	32	0.000414	9.18	15.3	1.13	9629	595	8.049	9.378
118	3	1	0.5	gelu	40	32	0.0003266	11.1	10.9	0.835	9578	836	14.32	10.98
117	2	1	0.5	gelu	40	32	0.0004471	14.4	12.5	1.29	9293	1337	16.26	12.01
119	2	1	0.5	gelu	40	32	0.0003175	13.7	11	0.914	9234	591	7.843	9.099
120	3	1	0.5	gelu	40	32	0.0003789	13.4	9.28	0.608	9240	511	14.67	11.16
121	2	1	0.5	gelu	40	32	0.0003672	10.8	10.6	0.776	8625	553	7.989	8.894
122	3	1	0.5	gelu	40	32	0.0003743	9.58	16	0.827	9009	673	10.82	9.497
123	3	1	0.5	gelu	40	32	0.0005131	11.1	11.7	1.19	8328	876	15.21	11.44
124	3	1	0.5	gelu	40	32	0.0004447	16.8	9.69	0.763	8742	469	8.7	8.933
125	4	1	0.5	gelu	40	32	0.0003278	12.5	13.9	0.712	9287	409	13.23	10.44
126	2	1	0.5	gelu	40	32	0.0004177	11.5	10.2	1.1	9928	558	7.9	9.227
127	3	1	0.5	gelu	40	32	0.0005414	14.1	9.64	0.931	9217	503	13.81	10.74
128	4	1	0.5	gelu	40	32	0.0004032	12.4	11.4	0.965	8821	632	12.43	10.09
129	3	1	0.5	gelu	40	32	0.00034	12	11.1	0.645	9125	603	14.94	11.3
130	2	1	0.5	gelu	40	32	0.0003337	9.68	11.7	1.02	9428	1089	15.24	11.46
131	3	1	0.5	gelu	40	32	0.0005305	9.76	11.9	0.513	9562	804	14.53	11.09
132	3	1	0.5	gelu	40	32	0.0003933	14	11.7	1.1	9310	939	16.07	11.89
133	4	1	0.5	gelu	40	32	0.0003574	13.1	16.4	0.61	9437	1709	15.87	11.78
134	3	1	0.5	gelu	40	32	0.0005558	16.1	11	1.13	8232	910	15.18	11.42
135	3	1	0.5	gelu	40	32	0.0003383	14.4	11	0.689	9558	738	14.17	10.92
136	3	1	0.5	gelu	40	32	0.0004033	12.9	10	0.942	9976	987	15.54	11.61
137	4	1	0.5	gelu	40	32	0.0004129	12.4	9.83	0.746	9845	1073	16.06	11.9
139	2	1	0.5	gelu	40	32	0.0004141	12.2	9.24	1.04	8997	503	8.16	9.502
138	5	1	0.5	gelu	40	32	0.0004428	17.2	9.44	0.865	9916	1246	15.56	11.63
140	3	1	0.5	gelu	40	32	0.0004291	14.9	9.33	1.05	9124	507	11.4	9.672
141	2	1	0.5	gelu	40	32	0.000512	10.9	17	1.11	9573	505	9.08	9.003
142	3	1	0.5	gelu	40	32	0.0005935	12.4	9	1.15	8148	760	15.6	11.64
143	3	1	0.5	gelu	40	32	0.0005243	10.9	12.9	1.12	9302	892	16.06	11.89
145	2	1	0.5	gelu	40	32	0.0005073	13.8	10.9	0.843	9269	551	9.927	9.206
144	2	1	0.5	gelu	40	32	0.0003069	14.9	11.2	0.982	9293	1014	16.22	11.99
146	3	1	0.5	gelu	40	32	0.0003532	11.4	13.3	0.884	8784	1157	15.7	11.7
147	3	1	0.5	gelu	40	32	0.00045	9.87	11	0.975	9711	884	15.4	11.54
149	2	1	0.5	gelu	40	32	0.0003139	12.1	11.4	0.734	9280	544	8.391	8.896
148	3	1	0.5	gelu	40	32	0.0003443	13.1	13.9	0.777	9697	691	11.85	9.856
151	3	1	0.5	gelu	40	32	0.0003813	12	11.3	0.758	9625	885	13.54	10.61
150	3	1	0.5	gelu	40	32	0.0003568	12.6	10.3	1.03	8893	1044	15.36	11.52
152	2	1	0.5	gelu	40	32	0.0003975	14.4	14.2	0.847	9762	718	12.54	10.15
153	3	1	0.5	gelu	40	32	0.0003045	12.4	9.06	0.771	9742	745	14.93	11.29
154	2	1	0.5	gelu	40	32	0.0004067	11	10.9	1.41	9808	505	15.62	11.66
155	3	1	0.5	gelu	40	32	0.0004804	15.2	9.35	1.09	8104	587	14.24	10.94
157	2	1	0.5	gelu	40	32	0.0003855	15.1	9.06	0.964	9259	433	8.261	8.902
156	4	1	0.5	gelu	40	32	0.0004192	14	14.1	0.982	9897	886	15.42	11.55
158	3	1	0.5	gelu	40	32	0.0003041	10.1	12.5	0.555	9903	872	10.42	9.351
159	2	1	0.5	gelu	40	32	0.0003188	13.7	15.7	0.774	9520	1072	16.81	12.3
161	2	1	0.5	gelu	40	32	0.0005296	12.2	14.8	0.543	9449	1026	14.37	11.01
160	3	1	0.5	gelu	40	32	0.0003533	10.5	14.7	0.635	9340	1888	16.92	10.12
163	2	1	0.5	gelu	40	32	0.0005708	12.2	15.9	0.529	8755	451	7.826	8.95
162	2	1	0.5	gelu	40	32	0.0004942	9.31	12.5	0.569	8902	1109	15.9	11.8
164	2	1	0.5	gelu	40	32	0.0003761	13	12	0.665	9301	632	7.937	9.261
165	2	1	0.5	gelu	40	32	0.0003613	13.3	9.64	0.864	9811	1483	15.06	11.38
166	2	1	0.5	gelu	40	32	0.0003043	13.6	11.6	0.874	9960	1191	13.42	10.54
168	3	1	0.5	gelu	40	32	0.0006596	9.44	12.2	0.509	9805	401	7.84	8.941
167	2	1	0.5	gelu	40	32	0.0004877	10.7	14.9	1.06	8421	531	9.442	9.092
169	2	1	0.5	gelu	40	32	0.0005879	12	14.4	0.5	8043	401	7.899	9.252
171	2	1	0.5	gelu	40	32	0.0006321	13.5	14.3	0.522	8825	589	11.62	9.774
170	3	1	0.5	gelu	40	32	0.0005619	9.14	14.5	0.67	9942	958	15.64	11.67
173	2	1	0.5	gelu	40	32	0.0005501	10.4	13.5	0.564	7725	443	7.844	9.015
172	2	1	0.5	gelu	40	32	0.000698	10.4	15.4	0.537	8177	501	11.22	9.616
174	2	1	0.5	gelu	40	32	0.000547	10.4	13.6	0.559	7671	969	16.48	12.12
175	2	1	0.5	gelu	40	32	0.0005255	12.7	14.6	0.558	7641	1004	15.96	11.83
177	3	1	0.5	gelu	40	32	0.0003055	10.6	13.8	0.735	8961	765	7.92	9.249
178	3	1	0.5	gelu	40	32	0.0003117	16.1	11	0.847	9627	1148	15.71	11.72
