trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	cl_tracking	cl_du
119387	21	2	0.5	gelu	120	40	0.002769	1.74	1.39	3.44	8251	4000	10.16	12.38	True	303	283.1	19.98
121906	19	2	0.5	gelu	120	40	0.001275	1.23	1.4	4.81	7627	4000	10.47	12.72	True	270.7	256.8	13.84
125889	20	2	0.5	gelu	120	40	0.001307	1.01	1.45	3.64	8042	4000	10.15	11.87	True	670.5	659.9	10.63
125890	25	2	0.5	gelu	120	40	0.001137	1.63	2.07	4.22	8046	4000	10.13	12.13	True	1068	1051	17.48
125962	19	2	0.5	gelu	120	40	0.001968	2.13	1.06	4.81	6747	4000	10.36	12.33	True	354.6	333.4	21.16
129142	19	2	0.5	gelu	120	40	0.001397	2.2	1.6	4.48	7668	4000	10.26	12.62	True	3511	3350	160.7
131128	20	2	0.5	gelu	120	40	0.001276	1.28	2.53	3.35	6910	4000	10.32	11.96	True	270.6	254.8	15.73
135021	23	2	0.5	gelu	120	40	0.002341	2.01	1.71	3	8803	4000	10.05	11.71	True	1759	1744	14.92
135022	21	2	0.5	gelu	120	40	0.0009774	1.47	2.31	3.12	7916	4000	10.25	12.19	True	618.1	594	24.15
135484	22	2	0.5	gelu	120	40	0.001405	1.34	2.06	2.79	6903	4000	10.37	12.65	True	519.4	493.6	25.79
138230	21	2	2.0	gelu	120	40	0.00135	1.11	1.42	4.82	7527	4000	10.19	12.26	True	2086	2071	15.45
138231	19	2	0.5	gelu	120	40	0.001308	1.01	1.59	3.76	9197	4000	10.27	11.98	True	2240	2226	14.39
138301	19	2	0.5	gelu	120	40	0.001077	1.35	1.22	3.97	7278	1500	10.16	11.75	True	190.7	175.3	15.4
141222	24	2	0.5	gelu	120	40	0.001864	1.78	1.19	3.91	7272	1500	10.35	12.75	True	280	262.4	17.53
144423	20	2	0.5	gelu	120	40	0.0009849	1.81	1.54	3.85	8708	1500	10.57	12.52	True	1799	1729	69.34
147060	21	2	0.5	gelu	120	40	0.001577	1.25	1.77	3.71	6829	4000	10.49	12.75	True	247.3	231.9	15.4
150494	24	2	0.5	gelu	120	40	0.001233	1.73	1.3	4.97	6315	4000	10.2	12.02	True	238.6	222.2	16.33
154698	19	2	0.5	gelu	120	40	0.001072	1.1	1.33	4.02	7345	1500	10.52	12.82	True	906.2	863.8	42.45
156506	24	2	0.5	gelu	120	40	0.00134	1.75	1.96	4.18	7376	4000	10.28	12.37	True	6953	6571	381.9
158462	19	2	0.5	gelu	120	40	0.001266	1.78	1.67	3.69	8947	4000	10.78	13.31	True	485.7	461.1	24.62
158463	22	2	0.5	gelu	120	40	0.001229	2.24	1.46	4.49	6866	4000	10.52	12.42	True	242.1	225.9	16.25
159990	21	2	0.5	gelu	120	40	0.001729	1.49	1.28	3.13	7502	4000	10.21	12.14	True	1537	1521	15.64
159991	22	2	0.5	gelu	120	40	0.001142	2.62	1.37	4.6	7736	4000	10.31	12.21	True	2655	2641	14.24
160106	22	1	0.5	gelu	120	40	0.001067	1.11	1.49	4.56	7245	4000	10.43	12.49	True	271.5	251.1	20.37
163097	23	2	0.5	gelu	120	40	0.001114	2.14	1.57	3.84	6533	1500	10.3	12.4	True	295.3	277.7	17.59
166020	21	2	0.5	gelu	120	40	0.001259	1.38	1.76	4.18	7396	500	10.3	12.28	True	2970	2817	152.7
167330	22	2	0.5	gelu	120	40	0.001044	1.77	1.28	3.88	6667	4000	10.37	12.13	True	454	426.6	27.34
170331	24	2	0.5	gelu	120	40	0.001062	2.44	1.91	4.73	5740	4000	10.35	12.12	True	278.6	261.7	16.91
173429	22	2	0.5	gelu	120	40	0.001309	1.2	1.27	4.31	5816	4000	10.23	12.18	True	247.8	230.3	17.47
175618	22	2	0.5	gelu	120	40	0.001461	1.06	1.63	3.73	6914	1500	10	11.25	True	201.5	185.7	15.74
178318	25	2	0.5	gelu	120	40	0.001266	1.85	1.44	4.2	7540	4000	10.38	12.53	True	208.6	193.1	15.5
183114	26	2	0.5	gelu	120	40	0.001213	1.57	1.18	4.29	6041	1500	10.37	12.47	True	525.4	497.3	28.08
186005	21	2	0.5	gelu	120	40	0.001421	1.48	1.34	3.88	6783	1500	10.23	12.04	True	809.9	795.5	14.41
186004	25	2	0.5	gelu	120	40	0.001002	1.85	1.48	4.46	7218	1500	10.38	12.6	True	3555	3544	10.53
186172	20	2	0.5	gelu	120	40	0.001225	1.78	1.61	4.01	7349	4000	10.11	11.83	True	6828	6435	393
188015	22	2	0.5	gelu	120	40	0.001656	1.36	1.87	4.36	7339	1500	10.17	12.39	True	277.9	261.9	15.95
190436	26	2	0.5	gelu	120	40	0.001423	1.46	1.94	4.52	5883	4000	10.28	12.11	True	353.3	333.6	19.72
193366	24	2	0.5	gelu	120	40	0.001325	1.22	1.87	4.28	6753	500	10.33	12.14	True	6461	6237	224.1
193367	23	2	0.5	gelu	120	40	0.001039	1.79	1.63	3.76	7323	4000	10.45	12.39	True	2664	2624	40.37
193652	24	2	0.5	gelu	120	40	0.001205	1.71	1.45	3.75	7969	4000	10.68	13.02	True	623.2	592.3	30.87
195842	22	2	0.5	gelu	120	40	0.001252	1.45	1.81	4.81	6880	4000	10.35	12.61	True	383.9	362.3	21.57
198444	22	2	0.5	gelu	120	40	0.001409	1.53	1.6	4.37	7116	1500	10.25	12.22	True	257.1	241.7	15.42
200783	22	2	0.5	gelu	120	40	0.001282	1.12	1.24	3.53	5293	4000	10.5	12.83	True	185.5	171.9	13.58
203932	22	2	0.5	gelu	120	40	0.001235	1.84	1.87	3.94	7751	4000	10.13	12.39	True	254.3	239.5	14.84
206988	22	2	0.5	gelu	120	40	0.001203	1.58	1.34	4.07	8415	4000	10.25	12.37	True	306.6	286.9	19.65
209688	18	2	0.5	gelu	120	40	0.001154	2.27	1.22	4.78	7067	4000	10.3	12.11	True	1046	969.6	76.27
211794	22	2	0.5	gelu	120	40	0.001465	1.02	1.42	4.17	6742	4000	10.29	12.47	True	227.7	213.2	14.43
214765	26	2	0.5	gelu	120	40	0.001291	1.68	1.69	4.57	6821	4000	10.4	12.16	True	349.1	328.7	20.34
216873	21	2	0.5	gelu	120	40	0.001619	1.06	2.03	3.98	7061	4000	10.44	12.69	True	1684	1669	15.24
216874	22	2	0.5	gelu	120	40	0.001458	1.5	1.14	4.12	8006	4000	10.45	12.63	True	2577	2561	16.03
217165	21	2	0.5	gelu	120	40	0.001118	1.35	1.62	3.53	8699	1500	10.4	12.65	True	332.7	312.4	20.31
219367	22	2	0.5	gelu	120	40	0.001	1.13	1.03	4.38	6256	4000	10.33	12.04	True	327.6	307.8	19.78
222320	25	2	0.5	gelu	120	40	0.001487	1.12	1.27	4.22	6811	4000	10.22	12.49	True	338.2	319.2	18.98
224373	24	2	0.5	gelu	120	40	0.001279	1.37	1.38	4.24	6686	4000	10.27	12.27	True	237.1	224.6	12.52
227363	24	2	0.5	gelu	120	40	0.001693	1.26	1.54	3.65	7146	4000	10.07	12.05	True	223.8	209.4	14.35
227364	25	2	0.5	gelu	120	40	0.001162	1.41	1.66	4.18	8050	4000	10.29	12.13	True	241.2	224.6	16.59
228348	25	2	0.5	gelu	120	40	0.001444	1.55	1.42	4.19	7899	4000	10.35	12.27	True	203.9	188.1	15.75
230923	23	2	0.5	gelu	120	40	0.001288	1.49	1.31	3.54	5856	500	10.53	12.45	True	1.017e+04	9627	546.6
230922	23	2	0.5	gelu	120	40	0.001089	1.39	1.46	4.05	6921	4000	10.42	12.47	True	235	215.5	19.5
231483	20	2	0.5	gelu	120	40	0.001431	1.11	1.44	3.96	6522	3000	10.11	12.2	True	397.2	374.4	22.74
233377	22	2	0.5	gelu	120	40	0.001597	1.15	1.26	4.38	6673	4000	10.42	12.27	True	501	479.6	21.45
233376	25	2	0.5	gelu	120	40	0.001351	1.25	1.36	3.62	6616	4000	10.2	12.16	True	1156	1133	23.32
233859	23	2	0.5	gelu	120	40	0.001611	1.32	1.56	3.32	7475	4000	10.42	12.48	True	314.7	295.1	19.63
236216	21	2	0.5	gelu	120	40	0.001533	1.1	1.61	4.47	6322	4000	10.28	12.29	True	536	520.3	15.73
236215	26	2	0.5	gelu	120	40	0.001309	1.49	1.36	4.25	7674	4000	10.19	12.33	True	2279	2261	17.63
236697	26	2	0.5	gelu	120	40	0.001612	1.12	1.57	4.3	7331	4000	10.37	12.34	True	341.4	322.5	18.94
239169	23	2	0.5	gelu	120	40	0.00128	1.27	1.48	4.63	6876	1500	10.15	12.08	True	251.5	234.3	17.19
241339	24	2	0.5	gelu	120	40	0.001598	1.01	1.45	4.05	7804	4000	10.29	12.44	True	269.6	249.8	19.73
243527	24	2	0.5	gelu	120	40	0.001248	1.07	1.49	3.83	6243	4000	10.32	12.12	True	250.2	231.3	18.87
246690	25	2	0.5	gelu	120	40	0.00127	1.6	1.3	3.87	7048	4000	10.68	13.21	True	590.6	555.8	34.73
248476	24	2	0.5	gelu	120	40	0.001538	1.43	1.47	4.86	6622	1000	10.18	11.98	True	458	433.8	24.2
250042	23	2	0.5	gelu	120	40	0.001279	1.59	1.2	4	7639	4000	10.16	12.12	True	264.1	246.2	17.95
252204	23	2	0.5	gelu	120	40	0.001114	1.76	1.44	4.32	7225	4000	10.33	12.19	True	225.5	210.1	15.39
255088	24	2	0.5	gelu	120	40	0.001017	1.5	1.7	4.49	7870	4000	10.13	12.33	True	212.9	196.6	16.33
258944	24	2	0.5	gelu	120	40	0.001257	1.33	1.85	3.74	7741	4000	10.32	12.3	True	777.1	760.5	16.63
258945	26	2	0.5	gelu	120	40	0.001301	1.87	1.58	4.3	7486	4000	10.08	12.04	True	1668	1655	13.11
259021	22	2	0.5	gelu	120	40	0.00112	1.59	1.86	3.81	8208	1500	10.7	13.13	True	382.5	362.7	19.85
