trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae
66	11	1	1.0	elu	80	8	0.0006767	5.35	2.07	0.696	9706	715	57.11	66.27
67	12	1	1.0	elu	80	8	0.0007203	4.58	4.57	0.945	9908	2000	4.576	5.409
69	10	1	1.0	elu	80	8	0.0005842	4.31	1.95	1.05	8371	460	11.1	7.652
68	11	1	1.0	elu	80	8	0.0005821	5.54	1.98	1.07	9830	2000	6.11	7.137
71	11	1	1.0	elu	80	8	0.0003986	4.54	4.26	0.952	8569	634	64.17	62.24
70	11	1	1.0	elu	80	8	0.0003861	4.73	1.52	0.754	9647	2000	8.095	13.62
72	10	1	1.0	elu	80	8	0.0005125	4.55	3.73	0.899	7178	2000	4.78	6.309
73	11	1	1.0	elu	80	8	0.0007152	2.98	3.95	1.21	8449	2000	6.065	6.973
74	11	1	1.0	elu	80	8	0.0005276	5.15	4.83	0.793	9341	2000	4.505	5.956
76	11	1	1.0	elu	80	8	0.0005307	8.2	1.92	1.37	9027	811	64.86	70.49
75	11	1	1.0	elu	80	8	0.0007383	5.71	3.44	1.09	9291	2000	4.57	5.729
77	12	1	1.0	elu	80	8	0.0005291	6.48	2.04	0.599	8403	2000	4.726	6.459
78	10	1	1.0	elu	80	8	0.0004943	3.78	4.24	1.02	9072	2000	6.422	84.81
79	11	1	1.0	elu	80	8	0.000675	4.7	4.11	0.697	8542	2000	4.608	5.773
80	10	1	1.0	elu	80	8	0.0007386	6.41	3.23	0.675	9130	1865	4.407	6.047
82	12	1	1.0	elu	80	8	0.0006526	5.46	1.87	0.897	8948	1591	6.319	6.011
81	11	1	1.0	elu	80	8	0.0004026	4.59	2.28	1.36	8990	2000	6.864	31.36
83	11	1	1.0	elu	80	8	0.0007395	7.22	3.63	1.45	9618	2000	4.574	5.291
84	11	1	1.0	elu	80	8	0.0004741	3.99	4.2	1.37	9683	2000	4.542	5.759
85	12	1	1.0	elu	80	8	0.000555	3.95	2.36	0.672	8794	1456	6.868	7.185
86	10	1	1.0	elu	80	8	0.000508	4	4.73	1.33	9514	2000	8.566	19.72
87	10	1	1.0	elu	80	8	0.0008042	7.05	2.91	0.534	9112	2000	4.641	6.389
88	10	1	1.0	elu	80	8	0.0004541	5.51	3.9	0.928	9873	2000	4.495	7.049
90	10	1	1.0	elu	80	8	0.0005673	5.47	3.84	0.785	9664	1272	47.95	57.24
89	11	1	1.0	elu	80	8	0.0004211	6.45	3.37	1.63	8504	2000	6.213	15.72
91	11	1	1.0	elu	80	8	0.0006635	4.42	3.99	0.773	9769	2000	4.533	6.003
92	10	1	1.0	elu	80	8	0.0004021	5.38	2.99	1.12	9234	2000	4.477	5.581
93	11	1	1.0	elu	80	8	0.0004384	7.09	4.32	0.614	9052	2000	4.462	6.361
94	11	1	1.0	elu	80	8	0.000801	4.1	4.09	0.785	9557	2000	4.605	5.665
96	11	1	1.0	elu	80	8	0.0005554	5.1	5.27	0.646	9314	408	7.695	7.527
95	12	1	1.0	elu	80	8	0.0005821	4.35	3.53	1.14	9878	2000	6.094	5.758
97	10	1	1.0	elu	80	8	0.0005265	6.82	3.63	0.75	9905	2000	6.923	6.395
98	12	1	1.0	elu	80	8	0.0004747	8.6	4.27	0.98	8076	2000	6.405	6.409
99	11	1	1.0	elu	80	8	0.0006365	5.44	5.89	1	9408	2000	4.556	5.952
100	11	1	1.0	elu	80	8	0.0004707	6.21	3.33	0.892	9911	2000	4.973	7.211
101	9	1	1.0	elu	80	8	0.0003518	6.78	3.86	0.964	9663	2000	4.916	6.784
102	11	1	1.0	elu	80	8	0.0006006	5.19	3.61	1.48	9937	2000	5.864	15.86
103	11	1	1.0	elu	80	8	0.0004045	5.78	3.74	0.765	9160	2000	4.608	6.907
105	10	1	1.0	elu	80	8	0.0003327	5.46	3.55	0.942	8966	401	5.565	5.613
106	11	1	1.0	elu	80	8	0.0004295	5.7	5.62	0.748	9839	423	8.573	8.014
104	11	1	1.0	elu	80	8	0.0005401	5.13	2.74	1.2	9885	2000	6.417	6.816
107	11	1	1.0	elu	80	8	0.0005406	5.53	3.25	0.805	9089	2000	5.097	6.049
109	10	1	1.0	elu	80	8	0.0006913	3.59	3.55	0.779	9746	457	7.389	7.756
108	11	1	1.0	elu	80	8	0.0005009	6.95	4.07	0.598	8976	2000	4.538	5.692
110	10	1	1.0	elu	80	8	0.00049	4.19	4.96	1.03	9932	2000	5.356	5.827
111	11	1	1.0	elu	80	8	0.0004283	4.15	3.36	1.27	9375	2000	6.566	6.023
112	11	1	1.0	elu	80	8	0.0005384	4.96	4.92	1.05	9759	754	43.77	42.9
113	11	1	1.0	elu	80	8	0.0006264	5.71	3.92	0.645	9182	2000	4.613	5.666
114	11	1	1.0	elu	80	8	0.0005831	5.63	3.94	1.03	9331	2000	4.573	5.932
115	10	1	1.0	elu	80	8	0.0004757	4.51	3.31	1.06	9840	2000	4.538	6.111
116	11	1	1.0	elu	80	8	0.0006642	6.29	4.25	0.732	9993	2000	6.7	5.742
117	11	1	1.0	elu	80	8	0.0004645	4.49	4.76	0.895	9266	2000	4.502	6.677
119	11	1	1.0	elu	80	8	0.0004352	4.59	4.07	0.765	9205	569	8.364	6.862
118	11	1	1.0	elu	80	8	0.0004243	7.88	3.85	0.535	8525	2000	7.476	7.095
120	11	1	1.0	elu	80	8	0.0005286	5.87	4.82	0.825	9170	442	8.182	8.296
121	12	1	1.0	elu	80	8	0.0004573	6.68	4.06	0.795	8740	2000	5.709	6.665
122	11	1	1.0	elu	80	8	0.0005806	5.36	5	1.28	9233	2000	4.553	6.006
123	11	1	1.0	elu	80	8	0.000476	4.94	4.01	1.06	9460	2000	7.379	6.559
124	11	1	1.0	elu	80	8	0.0007165	3.47	2.9	0.677	9695	1652	9.481	7.143
126	11	1	1.0	elu	80	8	0.0004527	4.06	4.49	0.946	9495	1849	8.446	5.986
125	11	1	1.0	elu	80	8	0.0006041	4.76	3.66	0.813	9269	2000	9.153	11.61
127	11	1	1.0	elu	80	8	0.0004629	7.77	3.85	0.781	9613	532	6.958	7.683
129	10	1	1.0	elu	80	8	0.000435	5.68	4.21	1.02	9978	401	5.291	5.214
128	11	1	1.0	elu	80	8	0.000579	5.64	4.08	0.791	8547	2000	4.592	5.463
