trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	t2d2	t3d3
2500	26	2	1.0	elu	80	40	0.0007636	13.9	1.86	2.91	3653	4000	2.332	2.094	True	1e+06		
2498	27	2	0.5	elu	120	40	0.0007992	11.3	1.23	2.35	3712	4000	2.682	2.576	True	1e+06		
2499	24	2	1.0	elu	120	40	0.0008796	7.58	3.5	4.27	1770	4000	2.272	2.021	True	1e+06		
2506	32	2	1.0	elu	20	40	0.0008362	15.3	1.05	2.57	4326	4000	5253	25.91	True	1e+06		
2509	27	2	1.0	elu	120	40	0.00098	16.3	2	2.32	4142	1000	3.555	3.138	True	1e+06		
2503	29	2	1.0	elu	120	40	0.0009025	14.1	3.37	3.31	1305	4000	2.175	2.246	True	1e+06		
2504	26	2	1.0	relu	120	40	0.0007817	19.4	1.51	2.01	1814	4000	2.56	2.629	True	1e+06		
2505	30	2	1.0	relu	120	160	0.0006846	8.88	3.22	4.06	1536	4000	2.942	2.646	True	1e+06		
2510	28	2	1.0	elu	120	40	0.0009142	9.49	3.82	4.47	1931	2000	2.707	2.745	True	1e+06		
2511	31	2	1.0	elu	120	40	0.0005638	13.6	3.69	4.2	1594	4000	3.98	3.24	True	1e+06		
2507	30	2	1.0	elu	120	40	0.0008005	16.7	1.26	2.44	3622	4000	2.341	2.327	True	1e+06		
2512	27	2	1.0	elu	120	40	0.0005475	11.9	2.65	4.26	1486	4000	2.428	2.415	True	1e+06		
2508	27	2	1.0	elu	120	40	0.001065	11.5	3.65	3.34	1781	4000	2.224	2.111	True	1e+06		
2513	31	2	2.0	relu	120	40	0.0006764	11.2	3.39	4.57	1760	4000	2.862	3.082	True	1e+06		
2519	27	2	1.0	elu	20	40	0.0007693	13.3	2.04	2.23	4785	4000	10.98	16.3	True	1e+06		
2515	27	2	1.0	elu	120	40	0.001018	6.99	2.41	1.75	3065	3000	2.724	2.856	True	1e+06		
2514	30	2	1.0	elu	120	40	0.0007522	8.93	2.87	2.09	3996	3000	2.564	2.411	True	1e+06		
2522	27	2	1.0	elu	120	40	0.0006913	14.8	1.67	2.15	3692	1000	3.927	3.617	True	1e+06		
2516	27	2	1.0	elu	120	40	0.0008147	10.4	1.02	2.51	3810	4000	2.317	2.385	True	1e+06		
2517	30	2	1.0	elu	120	40	0.0007106	17.1	3.46	3.54	593	4000	2.107	2.163	True	1e+06		
2518	26	2	2.0	elu	120	40	0.0008629	14	3.66	4.21	2029	4000	2.114	2.359	True	1e+06		
2520	31	2	1.0	elu	120	40	0.0006936	11.1	3.17	4.45	1315	4000	2.419	2.547	True	1e+06		
2525	28	2	2.0	elu	120	40	0.0007924	9.65	4.1	4.48	1207	1000	3.369	3.029	True	1e+06		
2526	29	2	1.0	elu	40	40	0.0006744	11.6	2.65	4.59	1590	4000	5.14	4.302	True	1e+06		
2527	30	2	0.5	relu	120	40	0.0008335	15.1	3.87	3.85	1808	4000	4.376	3.782	True	1e+06		
2521	30	2	1.0	elu	120	40	0.0006546	5.76	4.62	4.5	202	4000	2.728	2.936	True	1e+06		
2523	30	2	1.0	elu	120	40	0.0007959	9.41	2.45	3.87	3746	4000	2.273	2.107	True	1e+06		
2524	31	2	1.0	elu	120	80	0.0008709	9.72	2.78	4.99	865	4000	2.44	2.631	True	1e+06		
2530	29	2	1.0	elu	120	40	0.0007222	12.3	4.53	4.96	1250	1500	4.079	3.055	True	1e+06		
2529	30	2	1.0	elu	120	40	0.0009652	14	3.01	3.56	1770	4000	2.29	2.194	True	1e+06		
2535	27	2	1.0	elu	120	40	0.0007924	9.22	1.53	3.17	3183	1000	3.638	3.234	True	1e+06		
2528	26	2	1.0	elu	120	40	0.0008266	9.75	2.17	4.55	2144	4000	2.199	2.264	True	1e+06		
2536	27	2	1.0	elu	40	40	0.0008714	10.1	2.61	2.11	3444	3000	4.783	4.21	True	1e+06		
2531	28	2	1.0	elu	80	40	0.0007732	7.05	3.86	4.09	665	4000	2.566	2.594	True	1e+06		
2538	25	2	1.0	elu	20	40	0.0009282	13.1	3.7	4.01	2137	4000	215.2	36.64	True	1e+06		
2532	24	2	1.0	elu	120	40	0.0008279	13.7	2.16	2.43	4111	4000	2.265	2.36	True	1e+06		
2537	27	2	1.0	elu	20	40	0.0007843	9.55	1.73	3.44	4670	4000	781	10.92	True	1e+06		
2533	26	2	1.0	elu	120	40	0.000769	15.1	1.59	2.69	5129	4000	2.312	2.211	True	1e+06		
2534	29	2	1.0	elu	120	40	0.0006586	16.6	3.78	3.56	1140	4000	2.407	2.482	True	1e+06		
2540	31	2	1.0	elu	120	40	0.0008971	16.6	4.09	3.7	2697	4000	2.508	2.581	True	1e+06		
2539	26	2	1.0	elu	120	80	0.0007672	9.28	1.83	4.8	4350	4000	3.423	2.829	True	1e+06		
2542	28	2	2.0	relu	120	40	0.0007762	13.7	2.18	2.39	4344	4000	2.367	2.22	True	1e+06		
2547	28	2	1.0	elu	120	40	0.0006769	13.3	3.11	2.1	2503	1000	3.625	3.208	True	1e+06		
2543	27	2	1.0	elu	120	40	0.0009191	5.85	4.3	3.59	873	4000	2.652	2.646	True	1e+06		
2541	28	2	1.0	elu	120	40	0.0008382	17.6	1.75	2.06	3785	4000	2.19	2.302	True	1e+06		
2549	28	2	1.0	elu	120	40	0.0006885	9.25	3.16	4.76	1169	500	5.535	4.482	True	1e+06		
2544	30	2	1.0	elu	120	40	0.0008711	9.07	3.69	4.28	1060	4000	2.375	2.442	True	1e+06		
2545	30	2	1.0	elu	120	40	0.0006472	17.3	1.64	2.26	5194	4000	2.137	2.245	True	1e+06		
2553	28	2	1.0	elu	120	40	0.001169	11.5	2.44	2.11	3506	1500	3.253	2.879	True	1e+06		
2546	28	2	1.0	elu	120	40	0.0008438	12.9	2.15	2.32	3509	4000	2.433	2.497	True	1e+06		
2550	26	2	1.0	elu	120	40	0.0008892	15	1.51	1.89	1730	4000	2.077	2.038	True	1e+06		
2548	30	2	1.0	elu	120	40	0.0009909	9.44	1.9	3.65	4398	4000	2.349	2.265	True	1e+06		
2552	27	2	1.0	gelu	120	40	0.0007972	8.96	3.95	4.33	920	4000	2.328	2.496	True	1e+06		
2551	31	2	1.0	elu	120	40	0.0007539	16.4	1.49	2.34	3807	4000	2.351	2.588	True	1e+06		
2556	26	2	1.0	elu	120	40	0.0007627	15.8	1.9	2.62	3963	2000	2.673	2.57	True	1e+06		
2554	32	2	1.0	elu	120	40	0.0008949	16.6	1.17	2.36	3238	4000	2.404	2.603	True	1e+06		
2559	27	2	1.0	elu	120	40	0.00116	7.29	2.26	2.09	3775	1500	3.292	2.933	True	1e+06		
2555	25	2	1.0	elu	120	40	0.0007654	10.4	3.96	4.17	642	4000	2.52	2.48	True	1e+06		
2561	28	2	2.0	elu	80	40	0.001015	9.36	1.85	2.06	3767	3000	2.571	2.805	True	1e+06		
2558	25	2	1.0	gelu	120	40	0.0008104	7.55	3.71	3.88	1443	4000	2.388	2.5	True	1e+06		
2565	29	2	1.0	elu	120	40	0.0007136	15.4	1.16	2.33	4449	500	5.323	4.197	True	1e+06		
